Time (h),Substrate concentration(S:g/L),Dissolved oxygen concentration(DO2:mg/L),Penicillin concentration(P:g/L),pH(pH:pH),Temperature(T:K),carbon dioxide percent in off-gas(CO2outgas:%),Sugar feed rate(Fs:L/h),Aeration rate(Fg:L/h),Agitator RPM(RPM:RPM),Oxygen Uptake Rate(OUR:(g min^{-1})),Offline Biomass concentratio(X_offline:X(g L^{-1})),Fault reference(Fault_ref:Fault ref),Batch_Number
7.2,1.9253,13.455,0.00098153,6.482,298.08,0.23564,15.0,30.0,100.0,0.39836,,0.0,1
7.4,1.9156,13.401,0.00098096,6.4855,298.08,0.24224,15.0,30.0,100.0,0.41999,,0.0,1
7.6,1.9014,13.333,0.00098037,6.4951,298.08,0.24903,15.0,30.0,100.0,0.444,,0.0,1
7.8,1.8833,13.276,0.00097977,6.5054,298.08,0.25603,15.0,30.0,100.0,0.46436,,0.0,1
8.0,1.8607,13.222,0.00097918,6.5128,298.09,0.26324,15.0,30.0,100.0,0.48107,,0.0,1
8.2,1.8336,13.331,0.00097861,6.5144,298.09,0.21112,15.0,42.0,100.0,0.45819,,0.0,1
8.4,1.8006,13.254,0.00097805,6.5086,298.1,0.21015,15.0,42.0,100.0,0.45132,,0.0,1
8.6,1.7627,13.191,0.00097751,6.4976,298.1,0.21507,15.0,42.0,100.0,0.46919,,0.0,1
8.8,1.7182,13.112,0.00097695,6.488,298.11,0.22089,15.0,42.0,100.0,0.49778,,0.0,1
9.0,1.6681,13.049,0.00097638,6.4845,298.12,0.22698,15.0,42.0,100.0,0.51847,,0.0,1
9.2,1.6111,12.975,0.00097579,6.4847,298.12,0.2333,15.0,42.0,100.0,0.54284,,0.0,1
9.4,1.5493,12.919,0.00097518,6.4889,298.13,0.23979,15.0,42.0,100.0,0.56083,,0.0,1
9.6,1.4815,12.842,0.00097454,6.4957,298.14,0.24647,15.0,42.0,100.0,0.58866,,0.0,1
9.8,1.4079,12.776,0.00097391,6.5042,298.15,0.25333,15.0,42.0,100.0,0.60956,,0.0,1
10.0,1.3281,12.693,0.00097327,6.5089,298.15,0.2604,15.0,42.0,100.0,0.6385,,0.0,1
10.2,1.2424,12.601,0.00097265,6.5082,298.15,0.26768,15.0,42.0,100.0,0.672,,0.0,1
10.4,1.1493,12.516,0.00097204,6.5039,298.15,0.27519,15.0,42.0,100.0,0.70032,,0.0,1
10.6,1.0486,12.41,0.00097143,6.498,298.14,0.28295,15.0,42.0,100.0,0.73895,,0.0,1
10.8,0.94074,12.309,0.00097082,6.4931,298.14,0.29098,15.0,42.0,100.0,0.7746,,0.0,1
11.0,0.82618,12.221,0.00097019,6.4917,298.14,0.29925,15.0,42.0,100.0,0.80504,,0.0,1
11.2,0.70488,12.132,0.00096956,6.4931,298.12,0.30775,15.0,42.0,100.0,0.8343,,0.0,1
11.4,0.57682,12.033,0.00096891,6.4942,298.08,0.31649,15.0,42.0,100.0,0.86827,,0.0,1
11.6,0.44014,11.92,0.00096826,6.495,298.07,0.3255,15.0,42.0,100.0,0.90697,,0.0,1
11.8,0.29866,11.855,0.0009676,6.4968,298.06,0.33475,15.0,42.0,100.0,0.92745,,0.0,1
12.0,0.15862,11.835,0.00096693,6.5002,298.04,0.34413,15.0,42.0,100.0,0.93728,2.8974,0.0,1
12.2,0.061676,11.966,0.00096622,6.5075,298.03,0.35344,30.0,42.0,100.0,0.9102,,0.0,1
12.4,0.016875,12.564,0.00096551,6.5259,297.97,0.36193,30.0,42.0,100.0,0.75194,,0.0,1
12.6,0.013954,13.538,0.00096484,6.5442,297.9,0.36878,30.0,42.0,100.0,0.6053,,0.0,1
12.8,0.013902,13.51,0.00096422,6.5424,298.57,0.37509,30.0,42.0,100.0,0.57759,,0.0,1
13.0,0.013506,13.478,0.00096365,6.5188,298.34,0.38133,30.0,42.0,100.0,0.58194,,0.0,1
13.2,0.013119,13.456,0.00096311,6.4876,298.17,0.38754,30.0,42.0,100.0,0.58845,,0.0,1
13.4,0.012755,13.435,0.00096254,6.4656,298.07,0.39373,30.0,42.0,100.0,0.59483,,0.0,1
13.6,0.012597,13.412,0.00096194,6.4611,298.0,0.39991,30.0,42.0,100.0,0.59939,,0.0,1
13.8,0.012335,13.391,0.00096128,6.4736,297.95,0.4061,30.0,42.0,100.0,0.60479,,0.0,1
14.0,0.012014,13.394,0.00096059,6.4955,297.93,0.41227,30.0,42.0,100.0,0.60088,,0.0,1
14.2,0.011821,13.384,0.00095989,6.5191,298.4,0.41838,30.0,42.0,100.0,0.60076,,0.0,1
14.4,0.011639,13.364,0.00095921,6.5331,298.25,0.42446,30.0,42.0,100.0,0.60238,,0.0,1
14.6,0.011474,13.33,0.00095857,6.5335,298.15,0.43054,30.0,42.0,100.0,0.6124,,0.0,1
14.8,0.01132,13.3,0.00095798,6.5197,298.1,0.43661,30.0,42.0,100.0,0.62085,,0.0,1
15.0,0.011133,13.285,0.00095742,6.4993,298.06,0.44268,30.0,42.0,100.0,0.61958,,0.0,1
15.2,0.011068,13.262,0.00095685,6.4821,298.04,0.44874,30.0,42.0,100.0,0.62284,,0.0,1
15.4,0.01065,13.264,0.00095625,6.4761,298.02,0.45479,30.0,42.0,100.0,0.61698,,0.0,1
15.6,0.010541,13.237,0.00095563,6.4847,298.01,0.46085,30.0,42.0,100.0,0.62034,,0.0,1
15.8,0.010326,13.239,0.00095499,6.5022,298.0,0.46689,30.0,42.0,100.0,0.61351,,0.0,1
16.0,0.0099612,13.238,0.00095435,6.5185,297.99,0.47289,30.0,42.0,100.0,0.60975,,0.0,1
16.2,0.032322,12.221,0.00095358,6.507,298.07,0.48019,75.0,42.0,100.0,0.88051,,0.0,1
16.4,0.031608,12.149,0.00095282,6.488,298.13,0.48895,75.0,42.0,100.0,0.97308,,0.0,1
16.6,0.028842,12.134,0.00095204,6.4785,298.15,0.49798,75.0,42.0,100.0,0.99052,,0.0,1
16.8,0.027508,12.074,0.00095123,6.479,298.16,0.50705,75.0,42.0,100.0,1.0091,,0.0,1
17.0,0.025651,12.057,0.00095039,6.4866,298.16,0.51615,75.0,42.0,100.0,1.0144,,0.0,1
17.2,0.0242,12.025,0.00094954,6.4974,298.15,0.52526,75.0,42.0,100.0,1.0178,,0.0,1
17.4,0.022999,11.99,0.00094868,6.5072,298.13,0.53438,75.0,42.0,100.0,1.0263,,0.0,1
17.6,0.022262,11.932,0.00094784,6.5135,298.11,0.54352,75.0,42.0,100.0,1.0437,,0.0,1
17.8,0.021035,11.901,0.000947,6.5164,298.1,0.55267,75.0,42.0,100.0,1.0561,,0.0,1
18.0,0.020201,11.87,0.0009462,6.5156,298.09,0.56179,75.0,42.0,100.0,1.0627,,0.0,1
18.2,0.019788,11.818,0.0009454,6.5092,298.08,0.57093,75.0,42.0,100.0,1.0725,,0.0,1
18.4,0.018783,11.795,0.00094462,6.4998,298.08,0.58008,75.0,42.0,100.0,1.0782,,0.0,1
18.6,0.018253,11.761,0.00094384,6.4919,298.07,0.58925,75.0,42.0,100.0,1.0791,,0.0,1
18.8,0.01689,11.773,0.00094305,6.4885,298.04,0.59838,75.0,42.0,100.0,1.0725,,0.0,1
19.0,0.016194,11.75,0.00094224,6.4897,298.02,0.60745,75.0,42.0,100.0,1.0751,,0.0,1
19.2,0.015549,11.704,0.00094142,6.4951,298.0,0.61652,75.0,42.0,100.0,1.086,,0.0,1
19.4,0.015077,11.689,0.00094059,6.5005,297.98,0.62561,75.0,42.0,100.0,1.0818,,0.0,1
19.6,0.014782,11.643,0.00093977,6.5067,297.97,0.63472,75.0,42.0,100.0,1.0886,,0.0,1
19.8,0.014799,11.569,0.00093895,6.5105,297.98,0.64391,75.0,42.0,100.0,1.106,,0.0,1
20.0,0.014009,11.561,0.00093814,6.512,297.99,0.65311,75.0,42.0,100.0,1.1091,,0.0,1
20.2,0.040175,10.832,0.00093711,6.4901,298.09,0.52435,150.0,55.0,100.0,1.3617,,0.0,1
20.4,0.03929,10.71,0.00093607,6.4707,298.15,0.52569,150.0,55.0,100.0,1.414,,0.0,1
20.6,0.035933,10.637,0.00093498,6.4605,298.19,0.53502,150.0,55.0,100.0,1.4435,,0.0,1
20.8,0.032406,10.598,0.00093384,6.4575,298.19,0.54488,150.0,55.0,100.0,1.4553,,0.0,1
21.0,0.032412,10.503,0.00093265,6.4567,298.18,0.55486,150.0,55.0,100.0,1.475,,0.0,1
21.2,0.031898,10.423,0.00093141,6.4566,298.18,0.56499,150.0,55.0,100.0,1.496,,0.0,1
21.4,0.029761,10.382,0.00093011,6.4573,298.15,0.57522,150.0,55.0,100.0,1.5124,,0.0,1
21.6,0.029329,10.308,0.00092876,6.4581,298.12,0.58552,150.0,55.0,100.0,1.5312,,0.0,1
21.8,0.02862,10.22,0.00092736,6.4584,298.11,0.59596,150.0,55.0,100.0,1.5577,,0.0,1
22.0,0.027699,10.158,0.00092591,6.4585,298.08,0.60654,150.0,55.0,100.0,1.5668,,0.0,1
22.2,0.026234,10.121,0.00092441,6.4587,298.05,0.61719,150.0,55.0,100.0,1.5773,,0.0,1
22.4,0.024026,10.143,0.00092287,6.46,298.03,0.62782,150.0,55.0,100.0,1.5656,,0.0,1
22.6,0.023738,10.058,0.00092132,6.4606,298.03,0.63848,150.0,55.0,100.0,1.5837,,0.0,1
22.8,0.022694,10.007,0.00091977,6.4609,298.04,0.64921,150.0,55.0,100.0,1.5963,,0.0,1
23.0,0.022348,9.9447,0.00091823,6.4609,298.05,0.66,150.0,55.0,100.0,1.6054,,0.0,1
23.2,0.021954,9.8749,0.00091668,6.4602,298.07,0.6709,150.0,55.0,100.0,1.6124,,0.0,1
23.4,0.02004,9.887,0.00091515,6.4609,298.07,0.68179,150.0,55.0,100.0,1.6118,,0.0,1
23.6,0.018598,9.889,0.00091362,6.4625,298.06,0.69259,150.0,55.0,100.0,1.6063,,0.0,1
23.8,0.01769,9.8526,0.00091209,6.4643,298.05,0.70333,150.0,55.0,100.0,1.6179,,0.0,1
24.0,0.017054,9.8146,0.00091056,6.4661,298.03,0.71406,150.0,55.0,100.0,1.6293,8.5233,0.0,1
24.2,0.0031571,12.451,0.015465,6.5061,297.78,0.72098,30.0,55.0,100.0,0.82523,,0.0,1
24.4,0.0031577,12.443,0.032763,6.5442,298.9,0.72538,30.0,55.0,100.0,0.72351,,0.0,1
24.6,0.0031633,12.398,0.049979,6.5779,298.35,0.72963,30.0,55.0,100.0,0.72841,,0.0,1
24.8,0.0031719,12.267,0.067269,6.6036,298.01,0.73387,30.0,55.0,100.0,0.76764,,0.0,1
25.0,0.0031463,12.179,0.08488,6.6095,297.86,0.7381,30.0,55.0,100.0,0.80397,,0.0,1
25.2,0.0031004,12.982,0.10275,6.5856,298.48,0.74232,30.0,55.0,100.0,0.81174,,0.0,1
25.4,0.0030286,12.963,0.12142,6.5439,298.26,0.74652,30.0,55.0,100.0,0.80575,,0.0,1
25.6,0.0030267,12.911,0.14038,6.491,298.09,0.75072,30.0,55.0,100.0,0.81502,,0.0,1
25.8,0.0029292,12.931,0.16038,6.4502,297.99,0.75487,30.0,55.0,100.0,0.79985,,0.0,1
26.0,0.002941,12.912,0.18051,6.4389,297.94,0.75902,30.0,55.0,100.0,0.80387,,0.0,1
26.2,0.0029548,12.926,0.20077,6.4564,298.43,0.76317,30.0,55.0,100.0,0.79236,,0.0,1
26.4,0.0029163,12.927,0.22149,6.4862,298.3,0.76729,30.0,55.0,100.0,0.7945,,0.0,1
26.6,0.0029147,12.925,0.24241,6.5161,298.19,0.77139,30.0,55.0,100.0,0.78745,,0.0,1
26.8,0.0029121,12.893,0.26351,6.5404,298.11,0.77547,30.0,55.0,100.0,0.80059,,0.0,1
27.0,0.0028428,12.896,0.28543,6.5549,298.05,0.7795,30.0,55.0,100.0,0.78604,,0.0,1
27.2,0.0028138,12.87,0.30762,6.5397,298.02,0.78349,30.0,55.0,100.0,0.77833,,0.0,1
27.4,0.0028371,12.802,0.3298,6.5036,298.01,0.78752,30.0,55.0,100.0,0.79209,,0.0,1
27.6,0.0028394,12.773,0.35212,6.4696,298.0,0.79157,30.0,55.0,100.0,0.79781,,0.0,1
27.8,0.0028228,12.771,0.37468,6.4559,298.0,0.79565,30.0,55.0,100.0,0.78485,,0.0,1
28.0,0.0028139,12.778,0.39754,6.4651,297.99,0.79972,30.0,55.0,100.0,0.7771,,0.0,1
28.2,0.0033614,12.576,0.41529,6.485,298.01,0.80412,37.0,55.0,100.0,0.82459,,0.0,1
28.4,0.0034163,12.541,0.43233,6.5076,298.02,0.80874,37.0,55.0,100.0,0.83956,,0.0,1
28.6,0.0034402,12.508,0.44924,6.5267,298.03,0.81341,37.0,55.0,100.0,0.8436,,0.0,1
28.8,0.0033848,12.493,0.46686,6.5376,298.03,0.81806,37.0,55.0,100.0,0.84073,,0.0,1
29.0,0.0033433,12.463,0.48508,6.5334,298.03,0.82268,37.0,55.0,100.0,0.84503,,0.0,1
29.2,0.0032459,12.448,0.50446,6.5124,298.03,0.82724,37.0,55.0,100.0,0.84611,,0.0,1
29.4,0.0031725,12.406,0.52479,6.4872,298.03,0.83174,37.0,55.0,100.0,0.86957,,0.0,1
29.6,0.0031034,12.41,0.54615,6.47,298.01,0.83619,37.0,55.0,100.0,0.86707,,0.0,1
29.8,0.0030989,12.39,0.5677,6.4706,298.02,0.84062,37.0,55.0,100.0,0.87555,,0.0,1
30.0,0.0030736,12.383,0.58969,6.4834,298.02,0.84503,37.0,55.0,100.0,0.88243,,0.0,1
30.2,0.0030133,13.224,0.61246,6.5019,298.02,0.84937,37.0,55.0,100.0,0.89123,,0.0,1
30.4,0.0029768,13.207,0.63558,6.5195,298.03,0.85368,37.0,55.0,100.0,0.8897,,0.0,1
30.6,0.0030001,13.162,0.65872,6.529,298.02,0.858,37.0,55.0,100.0,0.89781,,0.0,1
30.8,0.0030202,13.116,0.68167,6.5256,298.02,0.86234,37.0,55.0,100.0,0.90818,,0.0,1
31.0,0.0030642,13.045,0.70427,6.509,298.02,0.86673,37.0,55.0,100.0,0.92839,,0.0,1
31.2,0.0030622,13.008,0.72684,6.4901,298.03,0.87116,37.0,55.0,100.0,0.93402,,0.0,1
31.4,0.0030677,12.972,0.74975,6.48,298.03,0.87561,37.0,55.0,100.0,0.94426,,0.0,1
31.6,0.0029728,12.98,0.77397,6.4817,298.02,0.88002,37.0,55.0,100.0,0.94633,,0.0,1
31.8,0.0029235,12.99,0.79883,6.4932,298.02,0.88436,37.0,55.0,100.0,0.94153,,0.0,1
32.0,0.0029235,12.968,0.82367,6.5059,298.01,0.88868,37.0,55.0,100.0,0.94461,,0.0,1
32.2,0.0033777,12.755,0.84346,6.5146,298.03,0.89331,43.0,55.0,100.0,0.99862,,0.0,1
32.4,0.0034045,12.7,0.86269,6.5151,298.05,0.89813,43.0,55.0,100.0,1.021,,0.0,1
32.6,0.0033681,12.666,0.88244,6.5085,298.06,0.90295,43.0,55.0,100.0,1.0339,,0.0,1
32.8,0.0033006,12.659,0.90323,6.4977,298.07,0.90773,43.0,55.0,100.0,1.0346,,0.0,1
33.0,0.0032288,12.667,0.92505,6.4903,298.07,0.91245,43.0,55.0,100.0,1.024,,0.0,1
33.2,0.0031096,12.684,0.94832,6.4867,298.06,0.91708,43.0,55.0,100.0,1.0184,,0.0,1
33.4,0.0030686,12.67,0.97227,6.4892,298.05,0.92166,43.0,55.0,100.0,1.0205,,0.0,1
33.6,0.003013,12.679,0.99712,6.4973,298.04,0.92619,43.0,55.0,100.0,1.0102,,0.0,1
33.8,0.0028992,12.703,1.0234,6.5073,298.03,0.93065,43.0,55.0,100.0,0.99747,,0.0,1
34.0,0.0028986,12.686,1.0498,6.5142,298.02,0.93506,43.0,55.0,100.0,0.99217,,0.0,1
34.2,0.0028938,12.657,1.0764,6.5153,298.02,0.93946,43.0,55.0,100.0,0.99606,,0.0,1
34.4,0.0029079,12.622,1.103,6.5095,298.03,0.94387,43.0,55.0,100.0,0.99871,,0.0,1
34.6,0.0029106,12.589,1.1296,6.5021,298.04,0.9483,43.0,55.0,100.0,1.0042,,0.0,1
34.8,0.0029069,12.563,1.1566,6.495,298.04,0.95272,43.0,55.0,100.0,1.0075,,0.0,1
35.0,0.0028304,12.584,1.1845,6.4909,298.03,0.95712,43.0,55.0,100.0,0.9883,,0.0,1
35.2,0.0027703,12.599,1.2134,6.4918,298.04,0.96146,43.0,55.0,100.0,0.97004,,0.0,1
35.4,0.002768,12.59,1.2425,6.4961,298.03,0.96577,43.0,55.0,100.0,0.96692,,0.0,1
35.6,0.0027561,12.564,1.2717,6.5045,298.03,0.97007,43.0,55.0,100.0,0.97568,,0.0,1
35.8,0.0027589,12.533,1.3012,6.5108,298.02,0.97437,43.0,55.0,100.0,0.98141,,0.0,1
36.0,0.002671,12.538,1.3316,6.5124,298.0,0.97862,43.0,55.0,100.0,0.98151,12.164,0.0,1
36.2,0.0029207,12.376,1.3596,6.5081,298.0,0.98302,47.0,55.0,100.0,1.0212,,0.0,1
36.4,0.0028507,12.384,1.3884,6.5004,298.01,0.98749,47.0,55.0,100.0,1.0119,,0.0,1
36.6,0.0028698,12.347,1.4172,6.4952,298.03,0.99197,47.0,55.0,100.0,1.0167,,0.0,1
36.8,0.0028259,12.338,1.4467,6.4941,298.03,0.99644,47.0,55.0,100.0,1.0161,,0.0,1
37.0,0.0027716,12.342,1.4771,6.4944,298.02,1.0009,47.0,55.0,100.0,1.0129,,0.0,1
37.2,0.0027351,12.341,1.5078,6.4986,298.02,1.0052,47.0,55.0,100.0,1.011,,0.0,1
37.4,0.0026707,12.337,1.5395,6.503,298.02,1.0095,47.0,55.0,100.0,1.0144,,0.0,1
37.6,0.0026251,12.33,1.5719,6.5085,298.01,1.0138,47.0,55.0,100.0,1.0114,,0.0,1
37.8,0.0026548,12.27,1.6041,6.5085,298.0,1.0181,47.0,55.0,100.0,1.0247,,0.0,1
38.0,0.002637,12.252,1.6367,6.505,297.99,1.0224,47.0,55.0,100.0,1.0233,,0.0,1
38.2,0.002633,12.226,1.6694,6.4998,297.99,1.0267,47.0,55.0,100.0,1.0206,,0.0,1
38.4,0.00261,12.212,1.7024,6.4962,298.0,1.031,47.0,55.0,100.0,1.018,,0.0,1
38.6,0.0025102,12.236,1.7364,6.4973,298.0,1.0352,47.0,55.0,100.0,1.0109,,0.0,1
38.8,0.0025018,12.211,1.7704,6.4999,298.0,1.0394,47.0,55.0,100.0,1.013,,0.0,1
39.0,0.0025288,12.158,1.8042,6.5018,298.01,1.0436,47.0,55.0,100.0,1.0252,,0.0,1
39.2,0.0024867,12.168,1.8383,6.504,298.01,1.0479,47.0,55.0,100.0,1.0196,,0.0,1
39.4,0.0024247,12.165,1.8732,6.5046,298.0,1.052,47.0,55.0,100.0,1.014,,0.0,1
39.6,0.0024509,12.126,1.9078,6.504,298.01,1.0562,47.0,55.0,100.0,1.0192,,0.0,1
39.8,0.0023971,12.135,1.9427,6.5031,298.01,1.0604,47.0,55.0,100.0,1.0131,,0.0,1
40.0,0.0024094,12.101,1.9777,6.5004,298.0,1.0645,47.0,55.0,100.0,1.0141,,0.0,1
40.2,0.0025648,13.83,2.0113,6.5,297.98,0.98689,51.0,60.0,100.0,1.0087,,0.0,1
40.4,0.0025972,13.778,2.0445,6.4988,297.98,0.98689,51.0,60.0,100.0,1.0089,,0.0,1
40.6,0.0025306,13.778,2.0785,6.4979,297.97,0.99066,51.0,60.0,100.0,1.0086,,0.0,1
40.8,0.0025176,13.752,2.1127,6.4992,297.96,0.99464,51.0,60.0,100.0,1.0125,,0.0,1
41.0,0.0025306,13.715,2.1468,6.5008,297.95,0.99865,51.0,60.0,100.0,1.0244,,0.0,1
41.2,0.0025273,13.686,2.1814,6.503,297.94,1.0027,51.0,60.0,100.0,1.0361,,0.0,1
41.4,0.0025225,13.646,2.216,6.5039,298.5,1.0067,51.0,60.0,100.0,1.052,,0.0,1
41.6,0.0024433,13.654,2.2515,6.5048,298.41,1.0106,51.0,60.0,100.0,1.0526,,0.0,1
41.8,0.0023941,13.652,2.2874,6.5025,298.3,1.0145,51.0,60.0,100.0,1.0533,,0.0,1
42.0,0.0023913,13.626,2.3235,6.4994,298.21,1.0184,51.0,60.0,100.0,1.0596,,0.0,1
42.2,0.0023977,13.633,2.3599,6.4974,298.17,1.0222,51.0,60.0,100.0,1.0415,,0.0,1
42.4,0.002378,13.642,2.3967,6.499,298.13,1.0261,51.0,60.0,100.0,1.0239,,0.0,1
42.6,0.0023363,13.637,2.4336,6.4989,298.11,1.0299,51.0,60.0,100.0,1.0222,,0.0,1
42.8,0.0023001,13.647,2.471,6.5013,298.1,1.0337,51.0,60.0,100.0,1.0068,,0.0,1
43.0,0.0022839,13.634,2.5083,6.5059,298.07,1.0374,51.0,60.0,100.0,1.0096,,0.0,1
43.2,0.0022522,13.627,2.5457,6.5078,298.04,1.0412,51.0,60.0,100.0,1.0085,,0.0,1
43.4,0.0022924,13.565,2.5829,6.5051,298.03,1.0449,51.0,60.0,100.0,1.0214,,0.0,1
43.6,0.0022373,13.57,2.6205,6.5,298.02,1.0487,51.0,60.0,100.0,1.0171,,0.0,1
43.8,0.0022217,13.57,2.6583,6.495,298.01,1.0524,51.0,60.0,100.0,1.0088,,0.0,1
44.0,0.0022282,13.53,2.6962,6.4927,298.0,1.0561,51.0,60.0,100.0,1.0224,,0.0,1
44.2,0.0024383,13.377,2.7327,6.4915,298.02,1.06,57.0,60.0,100.0,1.053,,0.0,1
44.4,0.002402,13.389,2.7694,6.4941,298.04,1.064,57.0,60.0,100.0,1.0425,,0.0,1
44.6,0.002422,13.363,2.8059,6.4979,298.06,1.068,57.0,60.0,100.0,1.0446,,0.0,1
44.8,0.0024112,13.341,2.8426,6.505,298.07,1.072,57.0,60.0,100.0,1.0534,,0.0,1
45.0,0.0024229,13.309,2.8793,6.5101,298.06,1.076,57.0,60.0,100.0,1.0599,,0.0,1
45.2,0.0024449,13.263,2.9161,6.5104,298.05,1.08,57.0,60.0,100.0,1.072,,0.0,1
45.4,0.0023352,13.309,2.9538,6.5081,298.03,1.0839,57.0,60.0,100.0,1.0588,,0.0,1
45.6,0.0022982,13.301,2.9917,6.502,298.0,1.0878,57.0,60.0,100.0,1.052,,0.0,1
45.8,0.0022602,13.297,3.0301,6.4942,297.98,1.0916,57.0,60.0,100.0,1.0515,,0.0,1
46.0,0.0023025,13.227,3.0683,6.4892,297.96,1.0955,57.0,60.0,100.0,1.0728,,0.0,1
46.2,0.0023141,13.21,3.1064,6.4896,297.95,1.0994,57.0,60.0,100.0,1.0769,,0.0,1
46.4,0.0023283,13.208,3.1443,6.4928,298.49,1.1033,57.0,60.0,100.0,1.0678,,0.0,1
46.6,0.0023173,13.173,3.1825,6.4978,298.41,1.1072,57.0,60.0,100.0,1.0858,,0.0,1
46.8,0.0023119,13.143,3.2209,6.5027,298.31,1.1111,57.0,60.0,100.0,1.0941,,0.0,1
47.0,0.0022535,13.156,3.26,6.508,298.22,1.1149,57.0,60.0,100.0,1.0856,,0.0,1
47.2,0.0022682,13.118,3.299,6.5123,298.14,1.1188,57.0,60.0,100.0,1.0877,,0.0,1
47.4,0.0022624,13.047,3.3383,6.5128,298.1,1.1227,57.0,60.0,100.0,1.117,,0.0,1
47.6,0.0022663,13.008,3.3777,6.5087,298.08,1.1266,57.0,60.0,100.0,1.125,,0.0,1
