name,year,denom_pop_18_over,Diabetes
University Park,2021,22330,8%
Hollywood Hills West,2021,14723,7%
Unincorporated Santa Monica Mountains,2021,22714,8%
West Los Angeles,2021,12364,7%
Hancock Park,2021,10387,8%
Canoga Park,2021,54041,10%
Chesterfield Square,2021,8083,15%
Hidden Hills,2021,2361,7%
Norwalk,2021,104879,12%
North El Monte,2021,2360,13%
Monterey Park,2021,60473,16%
Hollywood,2021,71819,9%
Fairfax,2021,13626,6%
Glassell Park,2021,23826,12%
Watts,2021,41096,15%
La Verne,2021,30401,10%
Rancho Palos Verdes,2021,40900,10%
Green Meadows,2021,33245,14%
Del Aire,2021,8958,10%
Vermont Knolls,2021,22128,15%
Castaic,2021,10971,7%
Westwood,2021,50701,6%
Venice,2021,35418,7%
South Diamond Bar,2021,4763,9%
Universal City,2021,142,7%
Pacific Palisades,2021,23916,8%
Bel-Air,2021,7809,8%
East Pasadena,2021,5726,11%
Cudahy,2021,24209,13%
Palos Verdes Estates,2021,13113,10%
Ladera Heights,2021,11497,12%
Walnut Park,2021,15798,14%
La Crescenta-Montrose,2021,18932,9%
Gardena,2021,58507,14%
Duarte,2021,21095,12%
La Mirada,2021,48466,10%
Maywood,2021,25688,14%
Alondra Park,2021,8653,11%
Beverly Grove,2021,20877,6%
Vermont Vista,2021,24863,16%
Lawndale,2021,32544,11%
Hyde Park,2021,36554,16%
Lomita,2021,19886,10%
South Pasadena,2021,25474,9%
Westmont,2021,31732,16%
San Pasqual,2021,2018,9%
West Hollywood,2021,34330,7%
Artesia,2021,16458,12%
Manhattan Beach,2021,35013,7%
West Carson,2021,21630,12%
Hermosa Beach,2021,19448,5%
Carthay,2021,5281,7%
Beverly Hills,2021,34058,8%
El Segundo,2021,16576,7%
View Park-Windsor Hills,2021,11053,14%
Sierra Madre,2021,10900,9%
Gramercy Park,2021,10354,17%
Aggregated,2021,9777030,11%
